SimpleMinEltMax,SmythIsectMax,SmythFullSynth,IsectMax,SmythInitialCreationTotal,MinifyMax,SimpleInitialCreationTotal,Test,InitialCreationMax,SimpleAcceptsTermTotal,SimpleAcceptsTermMax,SmythComputationTime,FullSynth,SmythIsectTotal,SimpleInitialCreationMax,SimpleComputationTime,SimpleMinEltTotal,SmythFullSynthMax,SmythMinEltTotal,SmythMinEltMax,SmythLoopCount,SimpleLoopCount,LoopCount,SimpleIsectTotal,AcceptsTermTotal,MinEltTotal,FullSynthMax,SmythAcceptsTermTotal,SimpleFullSynth,AcceptsTermMax,IsectTotal,SmythMinifyMax,SimpleMinifyMax,MinEltMax,MinifyTotal,SmythAcceptsTermMax,ComputationTime,SimpleMinifyTotal,SimpleFullSynthMax,InitialCreationTotal,SmythMinifyTotal,SimpleIsectMax,SmythInitialCreationMax
0,0,0,0,0,0,0,bool-always-false,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
0,0,0,0,0,0,0,bool-always-true,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
0,0,0,0,0,0,0,bool-band,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
0,0,0,0,0,0,0,bool-bor,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
0,0,0,0,0,0,0,bool-impl,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
0,0,0,0,0,0,0,bool-neg,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0
0,0,0,0,0,0,0,bool-xor,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
0,0,0,0,0,0,0.02,list-append,0,0,0,0.04,0,0,0,0.09,0.03,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0.19,0.01,0,0.10,0,0,0
0.04,\incorrect,\incorrect,0.13,\incorrect,0.04,0.12,list-compress,0.03,0,0,\incorrect,0,\incorrect,0.03,1.72,0.10,\incorrect,\incorrect,\incorrect,\incorrect,0,0,1,0,0.17,0,\incorrect,0,0,0.29,\incorrect,0.06,0.09,0.41,\incorrect,1.12,0.37,0,0.08,\incorrect,0.14,\incorrect
0,0,0,0,0,0,0.01,list-concat,0.01,0,0,0.04,0,0,0.01,0.08,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.07,0,0,0.02,0,0,0
0.09,0,0,0.07,0,0.06,0.07,list-drop,0.02,0,0,0.08,0,0,0.01,0.55,0.17,0,0,0,0,0,0,0.13,0,1.02,0,0,0,0,0.27,0,0.06,0.32,0.23,0,1.90,0.12,0,0.18,0,0.08,0
0,0,0,0,0,0,0.02,list-even-parity,0,0,0,0.07,0,0,0,0.08,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0.07,0.01,0,0.01,0,0,0
\incorrect,0,0,0.02,0,0.01,\incorrect,list-filter,0,\incorrect,\incorrect,6.21,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,0,\incorrect,0,0.11,0,0,\incorrect,0,0.11,0,\incorrect,0.01,0.10,0,0.64,\incorrect,\incorrect,0.21,0,\incorrect,0
0.01,0,0,0.02,0,0.01,0.05,list-fold,0.02,0,0,1.49,0,0,0.02,0.19,0.01,0,0,0,0,0,0,0.04,0,0.02,0,0,0,0,0.03,0,0.01,0.02,0.02,0,0.20,0.02,0,0.04,0,0.02,0
0,0,0,0,0,0,0.01,list-hd,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.01,0,0,0
\incorrect,0,0,0,0,0,\incorrect,list-inc,0.01,\incorrect,\incorrect,0.07,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,0,\incorrect,0,0,0,0,\incorrect,0,0,0,\incorrect,0,0,0,0.07,\incorrect,\incorrect,0.03,0,\incorrect,0
0,0,0,0,0,0,0.01,list-last,0,0,0,0.04,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.01,0,0,0
0,0,0,0,0,0,0,list-length,0,0,0,0.03,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
0,0,0,0,0,0,0.01,list-map,0,0,0,0.49,0,0,0,20.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.01,0,0,0
\incorrect,0,0,0.22,0,0.21,\incorrect,list-nth,0,\incorrect,\incorrect,0.07,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,0,\incorrect,0,0.33,0,0,\incorrect,0,0.60,0,\incorrect,0.12,0.62,0,1.97,\incorrect,\incorrect,0.08,0,\incorrect,0
\incorrect,0,0,0.06,0,0.03,\incorrect,list-pairwise-swap,0.10,\incorrect,\incorrect,0.31,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,0,\incorrect,0,0.74,0,0,\incorrect,0,0.08,0,\incorrect,0.66,0.05,0,13.10,\incorrect,\incorrect,0.28,0,\incorrect,0
\incorrect,0,0,0.02,0,0.01,\incorrect,list-rev-append,0.04,\incorrect,\incorrect,0.08,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,0,\incorrect,0,0.92,0,0,\incorrect,0,0.17,0,\incorrect,0.09,0.14,0,2.01,\incorrect,\incorrect,0.70,0,\incorrect,0
0,0,0,0,0,0,0.03,list-rev-fold,0.02,0,0,0.07,0,0,0.02,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.03,0,0,0
0.07,0,0,0.06,0,0.04,0.14,list-rev-snoc,0.05,0,0,0.04,0,0,0.07,0.90,0.07,0,0,0,0,0,0,0.40,0,1.92,0,0,0,0,0.06,0,0.11,1.92,0.05,0,2.22,0.26,0,0.11,0,0.17,0
\incorrect,0,0,0,0,0,\incorrect,list-rev-tailcall,0.01,\incorrect,\incorrect,0.05,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,0,\incorrect,0,0.01,0,0,\incorrect,0,0.01,0,\incorrect,0,0.01,0,0.14,\incorrect,\incorrect,0.08,0,\incorrect,0
\incorrect,0,0,0.01,0,0.07,\incorrect,list-snoc,0.39,\incorrect,\incorrect,0.05,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,0,\incorrect,0,0.42,0,0,\incorrect,0,0.02,0,\incorrect,0.26,0.21,0,2.61,\incorrect,\incorrect,1.98,0,\incorrect,0
0.01,0,0,0.01,0,0.01,0.05,list-sort-sorted-insert,0.01,0,0,0.05,0,0,0.01,20.46,0.01,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0.01,0,0.01,0.02,0.01,0,0.14,0.01,0,0.04,0,0.01,0
\incorrect,0,0,\incorrect,0,\incorrect,\incorrect,list-sorted-insert,\incorrect,\incorrect,\incorrect,1.64,\incorrect,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,0
\incorrect,0,0,0,0,0,\incorrect,list-stutter,0.57,\incorrect,\incorrect,0.04,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,0,\incorrect,0,0.02,0,0,\incorrect,0,0.01,0,\incorrect,0,0.01,0,6.44,\incorrect,\incorrect,6.28,0,\incorrect,0
0,0,0,0,0,0,0.06,list-sum,0.02,0,0,0.08,0,0,0.02,0.13,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.19,0.01,0,0.10,0,0,0
4.18,0,0,\incorrect,0,\incorrect,0.22,list-take,\incorrect,0,0,0.07,\incorrect,0,0.04,58.98,18.02,0,0,0,0,0,\incorrect,19.22,\incorrect,\incorrect,\incorrect,0,0,\incorrect,\incorrect,0,10.47,\incorrect,\incorrect,0,\incorrect,20.90,0,\incorrect,0,9.57,0
0,0,0,0,0,0,0.01,list-tl,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
0,0,0,0.01,0,0.01,0.03,nat-add,0,0,0,0.04,0,0,0,0.08,0.01,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0.03,0,0,0.01,0.03,0,0.26,0,0,0.10,0,0,0
0.01,0,0,0,0,0,0.01,nat-iseven,0,0,0,0.04,0,0,0,0.44,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.01,0,0,0
0.03,0,0,0.06,0,0.03,0.06,nat-max,0.01,0,0,0.13,0,0,0.01,0.38,0.04,0,0,0,0,0,0,0.18,0,0.04,0,0,0,0,0.10,0,0.03,0.03,0.09,0,0.33,0.08,0,0.04,0,0.08,0
0,0,0,0,0,0,0,nat-pred,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
0.09,\incorrect,\incorrect,0.29,\incorrect,0.14,0.64,tree-binsert,0.17,0,0,\incorrect,0,\incorrect,0.14,2.17,0.14,\incorrect,\incorrect,\incorrect,\incorrect,0,0,0.99,0,0.46,0,\incorrect,0,0,0.50,\incorrect,0.08,0.28,0.65,\incorrect,2.16,0.36,0,0.41,\incorrect,0.24,\incorrect
\incorrect,0,0,0.07,0,0.06,\incorrect,tree-collect-leaves,0.04,\incorrect,\incorrect,0.08,0,0,\incorrect,\incorrect,\incorrect,0,0,0,0,\incorrect,0,\incorrect,0,0.78,0,0,\incorrect,0,0.07,0,\incorrect,0.77,0.07,0,1.17,\incorrect,\incorrect,0.12,0,\incorrect,0
0.02,0,0,0.02,0,0.01,0.02,tree-count-leaves,0,0,0,0.80,0,0,0,0.24,0.11,0,0,0,0,0,0,0.03,0,0.12,0,0,0,0,0.05,0,0.01,0.05,0.03,0,0.33,0.02,0,0.05,0,0.02,0
0.02,0,0,0.03,0,0.02,0.03,tree-count-nodes,0.01,0,0,0.39,0,0,0.01,0.24,0.03,0,0,0,0,0,0,0.07,0,0.04,0,0,0,0,0.04,0,0.02,0.03,0.03,0,0.18,0.04,0,0.02,0,0.03,0
