SimpleMinEltMax,IsectMax,AcceptsTermMax,MinifyMax,Test,InitialCreationMax,SimpleAcceptsTermTotal,SimpleMinifyMax,FullSynth,SimpleComputationTime,SimpleMinEltTotal,SimpleFullSynthMax,SimpleLoopCount,LoopCount,SimpleIsectTotal,AcceptsTermTotal,MinEltTotal,FullSynthMax,SimpleFullSynth,SimpleAcceptsTermMax,IsectTotal,SimpleInitialCreationMax,MinEltMax,MinifyTotal,ComputationTime,SimpleMinifyTotal,InitialCreationTotal,SimpleIsectMax,SimpleInitialCreationTotal
0,0,0,0,bool-always-false,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0
0,0,0,0,bool-always-true,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
0,0,0,0,bool-band,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
0,0,0,0,bool-bor,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.01
0,0,0,0,bool-impl,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0
0,0,0,0,bool-neg,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
0,0,0,0,bool-xor,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0
0,0,0,0,list-append,0,0,0,0,0.85,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0.88,0.01,0.02,0,0.04
\incorrect,1.12,0,0.50,list-compress,0.08,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,0,2.18,0,\incorrect,\incorrect,1.68,\incorrect,1.60,1.02,9.61,\incorrect,0.49,\incorrect,\incorrect
0,0,0,0,list-concat,0.01,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,2.28,0,0.02,0,0.02
0.02,0.08,0,0.03,list-drop,0.01,0,0.03,0,1.20,0.03,0,0,0,0.27,0,0.14,0,0,0,0.15,0.01,0.06,0.07,1.13,0.11,0.08,0.09,0.11
0,0,0,0,list-even-parity,0,0,0,0,0.23,0,0,0,0,0.02,0,0.01,0,0,0,0.01,0,0,0.01,0.19,0.01,0.01,0,0.02
0.01,0.01,0,0,list-filter,0.01,0,0.01,0,1.41,0.01,0,0,0,0.06,0,0.01,0,0,0,0.03,0.01,0.01,0.04,1.51,0.03,0.04,0.01,0.09
0.12,0.07,0,0.03,list-fold,0.02,0,0.05,0,4.35,2.56,0,0,0,0.29,0,0.29,0,0,0,0.33,0.01,0.07,0.21,3.44,0.14,1.33,0.12,0.20
0,0,0,0,list-hd,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0
0,0,0,0,list-inc,0.01,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1.68,0,0.01,0,0.01
0,0,0,0,list-last,0,0,0,0,0.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0.01,0,0.01
0,0,0,0,list-length,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40,0,0,0,0.01
0,0,0,0,list-map,0.02,0,0,0,2.72,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0,2.87,0.01,0.10,0.01,0.13
0,0.01,0,0,list-nth,0.01,0,0,0,1.12,0,0,0,0,0.01,0,0.01,0,0,0,0.02,0.01,0.01,0.02,1.13,0.01,0.05,0,0.07
0,0.01,0,0,list-pairwise-swap,0.04,0,0,0,0.89,0.01,0,0,0,0.03,0,0.02,0,0,0,0.02,0.05,0,0.02,0.90,0.02,0.18,0,0.24
0,0,0,0,list-rev-append,0.02,0,0,0,1.45,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0.02,0,0.01,1.53,0.01,0.08,0,0.08
0,0,0,0,list-rev-fold,0.02,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1.97,0,0.03,0,0.03
0,0,0,0,list-rev-snoc,0.01,0,0,0,1.47,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,1.43,0,0.03,0,0.03
\incorrect,\incorrect,\incorrect,\incorrect,list-rev-tailcall,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0,0,0,0,list-snoc,0.01,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.87,0,0.07,0,0.03
0.09,0.38,0,0.15,list-sort-sorted-insert,0.04,0,0.17,0,4.76,0.10,0,0,0,1.15,0,0.16,0,0,0,0.41,0.05,0.15,0.19,11.79,0.43,0.12,0.48,0.20
\incorrect,0.05,0,0.01,list-sorted-insert,0.03,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,0,0.08,0,\incorrect,\incorrect,0.17,\incorrect,0.02,0.09,4.78,\incorrect,0.43,\incorrect,\incorrect
0.07,0.19,0,0.06,list-stutter,0.35,0,0.06,0,3.03,0.07,0,0,0,0.29,0,0.22,0,0,0,0.20,0.37,0.22,0.06,3.11,0.10,1.16,0.17,1.22
0,0,0,0,list-sum,0.01,0,0,0,17.35,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1.04,0,0.01,0,0.01
\incorrect,1.41,0,0.41,list-take,0.01,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,0,4.46,0,\incorrect,\incorrect,4.43,\incorrect,1.50,1.30,11.02,\incorrect,0.14,\incorrect,\incorrect
0,0,0,0,list-tl,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0
\incorrect,\incorrect,\incorrect,\incorrect,nat-add,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0,0,0,0,nat-iseven,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
\incorrect,\incorrect,\incorrect,\incorrect,nat-max,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0,0,0,0,nat-pred,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
\incorrect,\incorrect,\incorrect,\incorrect,tree-binsert,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0.01,0.02,0,0,tree-collect-leaves,0.03,0,0,0,8.26,0.01,0,0,0,0.03,0,0.02,0,0,0,0.02,0.02,0.02,0.01,8.29,0.01,0.05,0.01,0.06
0.01,0.01,0,0.01,tree-count-leaves,0,0,0.01,0,8.13,0.01,0,0,0,0.03,0,0.02,0,0,0,0.02,0,0.02,0.01,8.16,0.02,0.01,0.02,0.02
0.39,0.56,0,0.45,tree-count-nodes,0.01,0,0.41,0,14.33,0.41,0,0,0,1.50,0,0.54,0,0,0,0.61,0,0.51,0.59,13.49,0.95,0.02,0.69,0.04
0.78,35.67,0,1.56,tree-inorder,0.32,0,1.84,0,64.37,1.32,0,0,0,41.54,0,4.79,0,0,0,37.71,0.30,2.73,5.35,64.82,6.33,0.58,17.83,1.06
0.01,0.07,0,0.01,tree-map,0.06,0,0.01,0,12.09,0.02,0,0,0,0.26,0,0.02,0,0,0,0.09,0.06,0.01,0.04,11.79,0.07,0.29,0.09,0.62
2.50,10.80,0,4.28,tree-nodes-at-level,0.01,0,3.73,0,51.54,3.55,0,0,0,26.76,0,6.90,0,0,0,14.11,0.01,4.35,15.39,42.73,15.37,0.06,6.16,0.13
0.99,3.96,0,0.97,tree-postorder,0.17,0,1.22,0,45.60,1.08,0,0,0,25.66,0,1.76,0,0,0,4.65,0.18,1.57,1.36,23.21,4.21,0.46,10.59,0.93
0,1.64,0,0.41,tree-preorder,0.19,0,0,0,13.30,0,0,0,0,0.01,0,0.61,0,0,0,1.85,0.01,0.53,0.48,18.99,0.01,0.43,0,0.03
